95-Am-241(n,total fission) ENDF/B-VII.1
1.0E-5,212.303
1.31241E-5,185.31
1.70876E-5,162.39
2.2426E-5,141.738
2.91987E-5,124.202
3.83206E-5,108.398
4.98935E-5,94.979
6.54808E-5,82.8845
8.52562E-5,72.6148
1.11891E-4,63.3558
1.45682E-4,55.4906
1.91195E-4,48.4006
2.48937E-4,42.3748
3.26707E-4,36.9374
4.25373E-4,32.3158
5.58264E-4,28.1428
7.26861E-4,24.5934
9.53941E-4,21.3839
0.00124203,18.6478
0.00163006,16.1715
0.00222608,13.7016
0.00303344,11.5866
0.00398112,9.97303
0.0054368,8.36389
0.0071057,7.14323
0.0092902,6.06964
0.012142,5.13067
0.0158747,4.29693
0.0207477,3.58316
0.024383,3.20633
0.0253,3.1258
0.0317255,2.67748
0.0396964,2.3084
0.0495715,1.99872
0.0617907,1.75569
0.0738726,1.60624
0.0883169,1.50168
0.109132,1.44578
0.112679,1.4453
0.134711,1.49802
0.154467,1.63014
0.172861,1.84993
0.188606,2.14798
0.202953,2.55697
0.216161,3.12099
0.227349,3.82712
0.236858,4.69319
0.244689,5.69292
0.25252,7.09052
0.259512,8.84553
0.266224,11.1967
0.272657,14.3049
0.279481,18.7439
0.295255,31.5088
0.29973,33.9143
0.304205,34.7924
0.310022,33.3578
0.316175,29.2818
0.329936,17.7526
0.336145,13.6748
0.342437,10.56
0.348171,8.45909
0.354044,6.85379
0.360477,5.55327
0.367329,4.53661
0.374741,3.73113
0.383551,3.04184
0.393759,2.48341
0.403548,2.10787
0.416971,1.75984
0.428149,1.57116
0.441562,1.43207
0.454858,1.37109
0.459212,1.36669
0.471183,1.3963
0.483155,1.49807
0.494039,1.6765
0.502201,1.88887
0.511044,2.23418
0.518391,2.65847
0.525329,3.23166
0.531859,3.99035
0.538253,5.00728
0.545735,6.59418
0.561299,10.5026
0.566305,11.3483
0.572052,11.6855
0.576753,11.3902
0.583283,10.2437
0.600752,5.8044
0.607635,4.43576
0.613757,3.51553
0.620287,2.78994
0.626818,2.26196
0.634436,1.81973
0.643143,1.46603
0.652394,1.20356
0.663277,0.988414
0.674841,0.829363
0.687221,0.709068
0.701914,0.608765
0.72096,0.521476
0.740006,0.464007
0.765038,0.416221
0.794423,0.385607
0.833604,0.37232
0.868651,0.380326
0.91538,0.417614
0.957227,0.481541
0.993424,0.570082
1.02359,0.680429
1.05117,0.826646
1.0753,1.01054
1.09685,1.24465
1.11494,1.52125
1.13218,1.89247
1.14626,2.318
1.15861,2.83227
1.16967,3.46377
1.18016,4.29172
1.18921,5.28097
1.19696,6.43446
1.20429,7.90438
1.21133,9.81431
1.21865,12.5237
1.22555,15.9571
1.23316,20.936
1.24342,29.5106
1.25663,41.2231
1.26399,45.78
1.27152,47.4389
1.27778,46.144
1.28559,41.5492
1.30771,22.3123
1.31561,16.8234
1.32294,12.9371
1.32983,10.2012
1.33658,8.20081
1.34362,6.64516
1.35224,5.25829
1.36143,4.20227
1.37077,3.42399
1.38183,2.7533
1.39332,2.24673
1.4074,1.79758
1.42348,1.43318
1.44158,1.14334
1.45968,0.934727
1.48209,0.748765
1.50507,0.612324
1.53323,0.493231
1.5631,0.404341
1.59794,0.332251
1.63624,0.278357
1.67669,0.241952
1.71379,0.223953
1.73647,0.220461
1.76378,0.22619
1.78698,0.244199
1.80604,0.275157
1.82047,0.316357
1.8313,0.36506
1.8416,0.435583
1.85062,0.528653
1.85887,0.653317
1.86583,0.799824
1.87317,1.00681
1.88219,1.34382
1.90654,2.4778
1.91417,2.71369
1.92188,2.79498
1.92983,2.69317
1.93993,2.33754
1.96117,1.33116
1.97006,0.996418
1.97727,0.78895
1.98436,0.635368
1.99209,0.513009
1.99982,0.42538
2.00755,0.362033
2.01786,0.302613
2.03035,0.254544
2.04259,0.222872
2.05728,0.197103
2.07956,0.173297
2.10563,0.159355
2.1317,0.155264
2.1581,0.159507
2.1845,0.173164
2.20744,0.195827
2.22614,0.226222
2.24216,0.266508
2.25426,0.311201
2.26683,0.379014
2.27783,0.467154
2.28726,0.57616
2.29622,0.721258
2.30502,0.916172
2.3146,1.19865
2.3278,1.69895
2.34389,2.34303
2.35445,2.62988
2.36282,2.70587
2.37205,2.61283
2.38311,2.29711
2.40825,1.32784
2.41863,1.01832
2.42711,0.830365
2.4356,0.69455
2.44471,0.595102
2.45414,0.530419
2.46357,0.494836
2.47362,0.482243
2.48317,0.491876
2.49574,0.538407
2.50631,0.615043
2.51537,0.719012
2.52367,0.857658
2.53182,1.04785
2.54073,1.33341
2.55024,1.74167
2.56307,2.44597
2.58088,3.46255
2.58982,3.80148
2.59886,3.9185
2.60818,3.77161
2.61724,3.40377
2.6458,1.76449
2.65531,1.33181
2.66376,1.03543
2.67146,0.830121
2.67991,0.661734
2.68837,0.538288
2.69743,0.441489
2.70799,0.360093
2.71931,0.297641
2.7329,0.244194
2.74875,0.200362
2.76536,0.167763
2.78528,0.139839
2.81155,0.114441
2.84054,0.095445
2.86952,0.08217
2.90817,0.0698805
2.95647,0.0597393
3.01444,0.0519343
3.08207,0.0463405
3.17868,0.0421705
3.2753,0.0408893
3.37694,0.0420904
3.46141,0.0453944
3.53731,0.051037
3.60055,0.059044
3.65368,0.0699351
3.69416,0.08283
3.72901,0.0996399
3.75656,0.119323
3.78017,0.143772
3.80097,0.174946
3.81784,0.211159
3.83302,0.257579
3.84679,0.318445
3.8586,0.394023
3.869,0.489306
3.87743,0.596184
3.88558,0.735005
3.89443,0.938663
3.90329,1.21227
3.91313,1.61289
3.92409,2.18095
3.95085,3.77439
3.96176,4.22562
3.97282,4.39007
3.98155,4.28002
3.99256,3.87085
4.01179,2.7543
4.02697,1.87924
4.03709,1.41142
4.04608,1.08785
4.05452,0.856619
4.06295,0.683092
4.07138,0.554371
4.0815,0.442955
4.09246,0.35855
4.10343,0.298821
4.11608,0.249538
4.13125,0.207919
4.1484,0.175161
4.17089,0.146043
4.19787,0.123385
4.23048,0.106323
4.27433,0.0933919
4.31818,0.0870457
4.37215,0.0846624
4.43115,0.0869124
4.49015,0.0935023
4.55266,0.105802
4.60475,0.121701
4.65684,0.145632
4.69573,0.172211
4.72907,0.205188
4.75741,0.245736
4.78075,0.293783
4.8002,0.350943
4.81798,0.426526
4.83298,0.520225
4.84548,0.63396
4.85632,0.774926
4.86632,0.958093
4.87604,1.20599
4.88576,1.54657
4.89549,2.00313
4.90688,2.70483
4.92133,3.83066
4.94422,5.72345
4.95733,6.44631
4.96787,6.64201
