95-Am-242(n,total fission) ENDF/B-VII.1
1.0E-5,276044.0
1.31241E-5,240964.0
1.70876E-5,211181.0
2.2426E-5,184348.0
2.91987E-5,161565.0
3.83206E-5,141038.0
4.98935E-5,123612.0
6.54808E-5,107911.0
8.52562E-5,94584.7
1.11891E-4,82576.3
1.45682E-4,72382.8
1.91195E-4,63202.3
2.48937E-4,55409.1
3.26707E-4,48387.7
4.25373E-4,42431.7
5.58264E-4,37067.6
7.26861E-4,32520.3
9.53941E-4,28425.9
0.00124203,24954.2
0.00163006,21833.6
0.00212234,19192.0
0.00278538,16820.0
0.00362657,14817.7
0.00475955,13046.9
0.00619694,11534.5
0.00813293,10184.4
0.0105891,9071.38
0.0138972,8070.99
0.0180942,7254.81
0.0234661,6593.72
0.0253,6415.92
0.033204,5873.54
0.0474582,5363.24
0.0678316,5081.6
0.0889513,5020.63
0.128044,5062.73
0.165741,4910.47
0.203051,4375.54
0.284097,2685.27
0.318816,2128.8
0.347948,1783.1
0.381154,1500.74
0.415982,1307.45
0.445756,1209.95
0.485454,1160.25
0.488749,1159.84
0.51605,1176.45
0.593922,1298.9
0.598606,1299.62
0.62671,1264.17
0.66184,1137.1
0.718867,894.488
0.764184,760.113
0.811408,674.963
0.858633,625.209
0.963575,572.815
1.15142,505.542
1.42532,363.872
1.51977,337.5
1.55125,335.64
1.63281,350.764
1.69646,364.179
1.75063,349.576
1.82917,312.559
1.87251,305.491
1.91605,311.648
1.97557,339.061
2.06112,390.124
2.09496,397.022
2.12504,390.355
2.18145,348.241
2.28579,244.036
2.34831,199.32
2.41083,169.767
2.47428,151.399
2.53774,141.704
2.59162,139.085
2.65613,142.6
2.72064,154.621
2.77511,173.688
2.82959,203.564
2.96247,302.116
3.06477,369.529
3.14758,437.083
3.20522,456.241
3.36145,423.253
3.41538,385.775
3.53276,254.076
3.57836,217.331
3.62793,191.685
3.66759,180.474
3.70724,176.593
3.75096,180.682
3.79467,194.579
3.83462,217.78
3.87787,256.682
3.98057,382.897
4.01962,404.363
4.02381,404.779
