48-Cd-113(n,&gamma;) ENDF/B-VII.1
1.0E-5,764144.0
1.31241E-5,667044.0
1.70876E-5,584608.0
2.2426E-5,510334.0
2.91987E-5,447279.0
3.83206E-5,390465.0
4.98935E-5,342237.0
6.54808E-5,298786.0
8.52562E-5,261907.0
1.11891E-4,228680.0
1.45682E-4,200479.0
1.91195E-4,175084.0
2.48937E-4,153531.0
3.26707E-4,134121.0
4.25373E-4,117661.0
5.58264E-4,102845.0
7.26861E-4,90290.5
9.53941E-4,78998.3
0.00124203,69436.2
0.00163006,60854.1
0.00212234,53600.8
0.00278538,47109.4
0.00362657,41647.0
0.00475955,36792.6
0.00619694,32733.8
0.00813293,29184.5
0.0105891,26283.3
0.0138972,23759.8
0.0180942,21815.8
0.0234661,20359.8
0.0253,20014.2
0.0361611,19012.6
0.040345,18947.6
0.0547796,19590.8
0.0713232,21655.3
0.0894371,25541.4
0.106925,31247.9
0.124697,39378.4
0.154732,55909.5
0.163863,59293.1
0.172993,60511.5
0.183665,58651.7
0.196391,52400.8
0.228633,30935.7
0.2429,23534.1
0.25574,18454.6
0.269294,14426.6
0.28356,11301.7
0.297827,8998.69
0.313877,7094.63
0.33064,5642.16
0.3499,4430.66
0.369874,3521.69
0.3927,2770.36
0.415527,2224.19
0.441921,1762.97
0.470811,1398.22
0.499701,1130.58
0.533941,897.562
0.570321,718.02
0.610268,573.705
0.652354,461.751
0.698008,372.077
0.747941,299.629
0.805008,238.913
0.866355,191.258
0.934835,152.493
1.00974,121.841
1.09534,96.1767
1.18094,77.5066
1.27724,62.0447
1.3771,50.2203
1.49124,40.2431
1.61964,32.0498
1.74804,26.0171
1.8907,21.0285
2.03337,17.314
2.20457,13.9445
2.40431,11.0697
2.61831,8.83225
2.83231,7.18187
3.06869,5.82654
3.36,4.60202
3.68,3.63593
4.0,2.93317
4.38,2.32496
4.78,1.85981
5.23,1.48148
5.68,1.20454
6.2,0.970368
6.624,0.837269
6.746,0.821905
6.832,0.844008
6.912,0.924648
6.9776,0.992121
6.992,0.995057
7.0384,0.962531
7.16,0.76996
7.24,0.702965
7.4,0.640906
7.816,0.551631
8.48,0.451948
9.32,0.361731
10.2,0.294606
11.16,0.242487
12.28,0.200882
13.4,0.174958
14.3671,0.164654
14.5575,0.164275
15.2238,0.16914
15.7235,0.182816
16.14,0.206737
16.3898,0.230953
16.6219,0.264842
16.8509,0.31609
17.0145,0.370782
17.1633,0.442273
17.2882,0.527704
17.3923,0.626648
17.5024,0.774673
17.5916,0.946607
17.6689,1.15579
17.7403,1.42816
17.801,1.75566
17.851,2.13077
17.8938,2.57109
17.9319,3.1062
17.9676,3.80271
17.9973,4.61237
18.0223,5.54322
18.0461,6.74877
18.0699,8.40797
18.0937,10.7149
18.1151,13.5502
18.1365,17.3224
18.1603,22.871
18.1865,30.885
18.2175,43.0059
18.3019,82.1728
