96-Cm-245(n,total fission) ENDF/B-VII.1
1.0E-5,124549.0
1.31241E-5,108717.0
1.70876E-5,95274.5
2.2426E-5,83162.5
2.91987E-5,72878.4
3.83206E-5,63611.0
4.98935E-5,55742.9
6.54808E-5,48652.5
8.52562E-5,42632.8
1.11891E-4,37206.8
1.45682E-4,32599.0
1.91195E-4,28447.0
2.48937E-4,24919.9
3.26707E-4,21739.3
4.25373E-4,19038.0
5.58264E-4,16601.5
7.26861E-4,14531.9
9.53941E-4,12663.4
0.00124203,11073.7
0.00163006,9638.27
0.00212234,8416.05
0.00278538,7310.17
0.00362657,6367.49
0.00475955,5523.13
0.00649986,4665.54
0.00885724,3928.7
0.012142,3278.92
0.0158747,2785.19
0.0207477,2357.89
0.024383,2117.04
0.0253,2063.28
0.033204,1698.9
0.0432317,1387.73
0.0542112,1154.74
0.0678316,945.481
0.0847058,765.366
0.101268,639.79
0.121069,533.866
0.138572,461.979
0.165666,382.178
0.198059,317.639
0.236786,267.768
0.270479,240.021
0.308296,218.089
0.368577,198.537
0.440644,189.289
0.47016,188.681
0.588332,196.674
0.744489,211.959
0.774032,212.623
0.857597,207.211
0.976614,181.748
1.16653,129.233
1.2731,107.899
1.36278,96.6621
1.43559,91.9873
1.47252,91.2536
1.5411,93.5405
1.60968,101.678
1.66119,113.691
1.71271,133.426
1.75202,157.252
1.7868,188.331
1.82159,233.38
1.85506,295.233
1.88876,379.412
1.94164,528.544
1.96904,572.057
1.9789,575.459
2.00192,555.877
2.03151,487.345
2.08659,334.056
2.11706,270.811
2.14476,229.632
2.178,196.801
2.20016,182.677
2.23347,170.445
2.26678,166.927
2.31925,175.173
2.40003,202.79
2.43668,207.82
2.46999,202.012
2.51996,176.679
2.60324,123.891
2.65279,100.046
2.70234,82.8741
2.75814,69.5494
2.8206,59.695
2.88306,53.275
2.96634,48.0553
3.04963,45.2728
3.16622,44.0197
3.28281,44.9999
3.43272,49.0757
3.56732,55.7
3.70836,66.7247
3.82981,81.2522
3.93553,100.019
4.02549,123.141
4.10421,151.893
4.17619,189.06
4.23916,234.738
4.29539,291.287
4.34937,366.464
4.4011,466.64
4.44609,585.032
4.49264,746.83
4.55315,1018.73
4.62062,1331.97
4.64761,1414.34
4.6782,1448.9
4.71599,1394.4
4.76457,1202.51
4.84959,793.181
4.90042,602.481
4.9454,476.217
4.99488,374.212
5.04212,303.353
5.09243,248.005
5.15045,202.147
5.20848,169.649
5.27617,143.481
5.34386,126.597
5.42509,116.041
5.47924,114.352
5.55884,119.472
5.69801,139.527
5.73267,140.78
5.77166,137.745
5.83664,123.241
5.96282,86.6781
6.04053,70.5472
6.11824,59.7849
6.19947,52.5836
6.28069,48.172
6.39441,45.1966
6.45398,44.801
6.55958,45.8555
6.64893,48.5875
6.75724,54.7216
6.83489,61.789
6.91713,72.8579
6.98762,86.8161
7.05582,106.728
7.11227,130.807
7.16307,161.919
7.20753,200.72
7.24846,251.397
7.28303,311.251
7.31408,384.603
7.34372,478.947
7.37476,611.734
7.41004,812.899
7.48258,1311.29
7.51194,1436.67
7.52898,1458.36
7.5571,1402.66
7.58701,1241.72
7.65701,757.611
7.68806,589.16
7.71981,459.352
7.74874,371.829
7.78261,296.859
7.81792,240.916
7.8576,196.283
7.90295,160.85
7.95298,134.2
8.003,116.173
8.06303,102.285
8.12973,93.8895
8.19643,91.2098
8.26647,93.8604
8.33651,102.092
8.42322,120.248
8.58063,163.545
8.6516,171.293
8.65213,171.294
8.70336,167.48
8.85944,135.878
8.9088,132.52
8.9471,135.96
8.99255,149.456
9.03799,174.876
9.11033,223.444
9.14533,231.592
9.16867,226.31
9.206,201.925
9.28855,127.847
9.32793,101.504
9.36293,84.5626
9.40231,71.0507
