64-Gd-153(n,&gamma;) ENDF/B-VII.1
1.0E-5,635641.0
1.31241E-5,554905.0
1.70876E-5,486367.0
2.2426E-5,424621.0
2.91987E-5,372207.0
3.83206E-5,324988.0
4.98935E-5,284915.0
6.54808E-5,248820.0
8.52562E-5,218196.0
1.11891E-4,190618.0
1.45682E-4,167226.0
1.91195E-4,146177.0
2.48937E-4,128334.0
3.26707E-4,112285.0
4.25373E-4,98701.9
5.58264E-4,86505.3
7.26861E-4,76205.0
9.53941E-4,66980.0
0.00124203,59214.4
0.00163006,52301.2
0.00212234,46522.4
0.00278538,41427.2
0.00362657,37230.5
0.00475955,33621.3
0.00680278,29841.6
0.00972316,27098.3
0.0151349,24840.1
0.0234661,22798.6
0.0253,22317.3
0.0345628,18916.8
0.0512086,11181.5
0.0586115,8466.61
0.065256,6598.9
0.0723793,5097.33
0.0792937,4021.8
0.0866108,3183.58
0.0943344,2536.73
0.102465,2040.08
0.110882,1663.97
0.121098,1336.64
0.132563,1082.6
0.14325,917.177
0.156658,776.236
0.17126,681.786
0.183763,636.975
0.199372,618.663
0.213991,635.625
0.22861,684.622
0.249373,805.519
0.275034,982.392
0.289678,1028.32
0.290898,1028.57
0.302308,1000.84
0.315915,904.617
0.351916,547.551
0.367551,425.51
0.382806,335.084
0.39806,267.602
0.415221,211.871
0.432764,170.395
0.453357,135.185
0.47395,109.711
0.498357,87.7982
0.525052,70.5722
0.555942,56.2982
0.588739,45.4291
0.626494,36.4305
0.669206,29.1387
0.711918,23.8597
0.765308,19.0716
0.826325,15.1841
0.888868,12.3337
0.962089,9.93305
1.03531,8.19395
1.12684,6.62635
1.23667,5.31682
1.34192,4.4229
1.47921,3.60362
1.63938,2.95692
1.82243,2.46645
2.00549,2.13933
2.24955,1.86021
2.49362,1.69415
2.85973,1.57809
3.04278,1.56328
3.47727,1.62503
3.88507,1.80829
4.16347,2.02249
4.48827,2.40727
4.75893,2.8993
4.99093,3.52887
5.18427,4.29164
5.35827,5.27822
5.51293,6.54142
5.64827,8.13091
5.76659,10.1192
5.86944,12.5613
5.95605,15.4544
6.03184,18.9678
6.0968,23.0946
6.16176,28.813
6.21512,35.3418
6.26384,43.5301
6.30792,53.7613
6.34581,65.8585
6.38255,82.0945
6.41232,100.25
6.44209,125.355
6.46723,154.854
6.49159,194.675
6.51285,243.082
6.5318,301.814
6.54997,377.173
6.56853,479.009
6.59019,635.664
6.61679,882.804
6.65917,1307.95
6.67897,1444.41
6.69926,1495.8
6.71609,1460.29
6.73712,1327.07
6.7812,889.512
6.80827,637.306
6.82837,489.661
6.84693,384.608
6.86627,302.31
6.88521,242.521
6.90725,191.764
6.92891,155.592
6.95365,125.407
6.97917,102.626
7.00895,83.1277
7.04336,66.8239
7.08125,53.8842
7.12224,43.7273
7.17096,35.0077
7.22741,27.819
7.28928,22.2285
7.35269,18.095
7.42693,14.585
7.50427,11.9315
7.59088,9.7608
7.68987,7.94764
7.79813,6.5041
7.92187,5.31102
8.05333,4.39346
8.21573,3.58269
8.40133,2.93608
8.61787,2.41862
8.86533,2.023
9.1128,1.75586
9.42213,1.54016
9.79333,1.39455
10.1645,1.33386
10.2883,1.32882
10.76,1.3724
11.14,1.48262
11.52,1.6759
11.9,1.98761
12.2167,2.38827
12.5017,2.9263
12.7233,3.53063
12.9292,4.33102
13.0954,5.23912
13.2458,6.37531
13.3844,7.83161
13.5103,9.68786
13.6179,11.9015
13.7208,14.8617
13.8095,18.4734
13.8855,22.8064
13.952,28.0564
14.009,34.2213
14.066,42.7682
14.1167,53.51
14.157,65.4198
14.1958,81.2849
14.2311,101.634
