64-Gd-155(n,total) ENDF/B-VII.1
1.0E-5,2476490.0
1.31241E-5,2161830.0
1.70876E-5,1894700.0
2.2426E-5,1654020.0
2.91987E-5,1449690.0
3.83206E-5,1265600.0
4.98935E-5,1109340.0
6.54808E-5,968560.0
8.52562E-5,849086.0
1.11891E-4,741453.0
1.45682E-4,650112.0
1.91195E-4,567872.0
2.48937E-4,498093.0
3.26707E-4,435264.0
4.25373E-4,382004.0
5.58264E-4,334087.0
7.26861E-4,293511.0
9.53941E-4,257037.0
0.00124203,226180.0
0.00163006,198518.0
0.00212234,175168.0
0.00278538,154292.0
0.00362657,136742.0
0.00475955,121181.0
0.00619694,108124.0
0.00813293,96572.7
0.0116243,83824.7
0.0166146,72830.4
0.0234661,63076.3
0.0253,60854.6
0.0435765,42161.4
0.0581234,30027.1
0.0694882,22656.9
0.0794354,17712.4
0.0890213,14059.7
0.099319,11075.1
0.109982,8763.73
0.121572,6902.92
0.13432,5407.63
0.147036,4315.3
0.160583,3454.23
0.176425,2718.51
0.192568,2173.23
0.210915,1721.54
0.229833,1382.07
0.251116,1102.91
0.275439,872.677
0.302368,690.776
0.329296,558.91
0.361489,444.627
0.393683,362.182
0.432171,290.729
0.476412,232.302
0.516674,193.862
0.569564,157.333
0.631452,127.703
0.700415,105.19
0.769676,89.7132
0.86013,76.3573
0.936731,68.9268
1.03657,63.0407
1.12503,60.5033
1.18022,59.9974
1.30439,61.6973
1.38992,65.4978
1.47822,72.4161
1.56376,83.5521
1.63619,98.8014
1.68793,115.505
1.73621,138.931
1.77208,164.827
1.79968,193.075
1.82727,233.205
1.85141,284.213
1.87211,347.162
1.89004,424.171
1.90694,524.956
1.92453,669.779
1.94316,875.752
1.98344,1399.71
1.99807,1513.74
2.00761,1537.09
2.02235,1486.99
2.04111,1302.9
2.07767,848.797
2.0963,675.65
2.11354,562.69
2.13079,486.309
2.15148,429.287
2.17494,395.66
2.19839,384.571
2.22943,395.404
2.2624,434.607
2.2915,494.83
2.31743,574.264
2.34322,686.753
2.36858,845.334
2.39008,1036.0
2.40981,1280.28
2.42707,1574.92
2.44398,1970.38
2.46089,2515.25
2.47675,3206.3
2.49528,4274.81
2.53643,7216.05
2.55447,8102.22
2.56732,8304.97
2.58266,8009.34
2.60182,6965.55
2.64199,4093.77
2.6596,3104.9
2.67546,2428.21
2.69131,1922.26
2.70823,1525.27
2.7269,1208.16
2.74663,967.032
2.76671,787.948
2.78891,642.152
2.81322,524.653
2.84281,420.911
2.87241,345.609
2.90694,281.252
2.9464,228.112
2.99008,185.751
3.04175,149.908
3.09597,123.143
3.15381,102.531
3.21611,86.4792
3.28926,73.399
3.35266,66.064
3.39818,63.2053
3.42744,62.8061
3.46645,65.0721
3.49896,71.0349
3.52334,79.1562
3.58869,110.558
3.6082,114.819
3.6147,114.903
3.63681,109.936
3.66753,93.2329
3.70866,68.6132
3.7371,56.3899
3.76555,48.1725
3.79806,42.0337
3.84683,36.3561
3.91673,31.6142
4.02564,27.3942
4.16218,24.3046
4.35725,21.8059
4.55557,20.6055
4.68886,20.3698
4.90831,20.9925
5.0646,22.3546
5.23087,25.0643
5.35025,28.2526
5.47713,33.5213
5.56775,39.2147
5.65475,47.2523
5.7258,56.821
5.7809,67.1919
5.8389,82.4904
5.8882,101.026
5.9288,122.328
5.9694,152.278
6.0013,185.274
6.03175,228.991
6.05785,281.166
6.08069,343.952
6.1028,427.941
6.1231,535.185
6.1405,660.338
6.15863,835.706
6.17602,1059.76
6.19632,1402.81
6.2217,1950.94
6.26056,2854.07
6.2826,3196.14
6.29954,3284.39
6.31972,3164.0
6.34408,2746.92
6.39498,1576.55
6.416,1187.49
6.43594,905.898
6.4537,718.558
6.47146,578.53
6.4914,463.043
6.5117,377.412
6.5349,306.262
6.56028,250.091
6.58855,204.874
6.62407,164.646
6.6596,136.2
6.70528,110.47
6.75095,92.5028
6.8104,76.3818
6.8684,65.7677
6.9264,58.52
6.9933,53.1365
7.0807,49.7773
7.1244,49.4902
7.20416,51.5334
7.25734,55.1766
7.31052,61.4102
7.36526,71.9525
7.40748,84.68
7.44267,100.244
7.47708,122.483
7.50445,148.075
7.52987,181.785
7.55098,220.84
7.57112,271.755
7.59145,342.055
7.61139,435.342
7.6329,568.623
7.65929,779.049
7.70746,1205.4
7.72873,1334.52
7.74988,1381.04
7.77127,1333.15
7.79755,1164.48
7.85635,650.956
7.87981,488.917
7.89936,385.192
7.91852,307.949
7.93768,249.986
7.95879,202.74
7.98343,163.052
8.00962,133.0
8.0409,107.611
8.07414,88.5587
8.11519,72.0074
8.15977,59.4594
8.21607,48.4934
8.28176,39.8145
8.35683,33.0917
8.44129,27.9386
8.55081,23.4693
8.67614,20.1295
8.82654,17.5213
9.01909,15.4962
9.20367,14.4761
9.31899,14.2572
9.45719,14.5883
9.54357,15.3679
9.62419,16.918
9.68465,19.1633
9.7264,21.8239
9.75807,24.9811
9.7883,29.6089
9.81349,35.4545
9.83473,42.5269
9.8574,53.0995
9.88008,67.5916
9.90491,88.3048
9.96652,148.489
9.98812,162.653
10.0102,167.852
10.0307,163.158
10.0561,146.374
10.1244,80.5941
10.1496,61.6407
10.1705,49.7898
10.1921,40.7314
10.2173,33.314
10.2461,27.675
10.2749,23.9392
10.3094,20.9542
10.3555,18.4272
10.416,16.4662
10.4649,15.505
10.5628,14.5012
10.6549,14.2358
10.8026,14.7827
10.9146,16.0773
11.0088,18.0962
11.0873,20.9409
11.1477,24.4644
11.1924,28.4252
11.2301,33.3124
11.2615,39.1962
11.289,46.5349
11.3165,57.096
11.34,69.9757
11.3636,87.7843
11.3887,113.652
11.417,151.976
11.4798,253.102
11.5074,284.224
11.5334,294.047
11.5614,281.012
11.5934,243.22
11.6493,164.605
11.6756,137.766
11.698,122.988
11.7204,115.695
11.7312,114.805
11.7545,118.837
11.7745,129.327
11.7953,148.362
11.8164,178.227
11.8376,220.954
11.8598,281.55
11.8898,387.737
11.9415,590.304
11.9646,653.722
11.9897,679.418
12.0114,659.816
12.0391,585.789
12.1099,308.675
12.1339,233.363
12.1569,178.129
12.1791,138.616
12.2013,110.029
12.2256,87.8289
12.2503,71.9721
12.2778,59.466
12.3117,48.7626
12.3512,40.2281
12.3935,33.9056
12.4443,28.6281
12.5149,23.7477
12.5996,20.0169
12.6842,17.595
12.7992,15.4992
12.9438,13.976
13.1174,13.1186
13.2317,12.973
13.3925,13.2938
13.5532,14.375
13.6949,16.3235
13.7985,18.7728
13.8847,21.9936
13.9551,25.9764
14.0202,31.4978
14.0666,37.2198
14.1091,44.5524
14.1509,54.9374
14.1851,67.2666
14.2153,82.9308
14.2412,102.108
14.2631,124.75
14.283,152.801
14.3029,190.76
14.3242,245.902
14.3454,320.315
14.3686,427.662
14.3945,579.641
14.4577,1006.32
14.4834,1128.67
14.5102,1175.77
14.5312,1146.62
14.5573,1038.32
14.6016,749.504
14.6374,515.036
14.6613,388.379
14.6826,300.14
14.7025,236.694
14.7224,188.825
14.7423,153.145
14.7662,122.115
14.7921,98.4889
14.818,81.6796
14.8478,67.7197
14.8837,55.822
14.9215,46.861
14.9693,38.8109
15.0251,32.2673
15.0941,26.7198
15.1737,22.4032
15.2534,19.4254
15.3596,16.6913
15.4658,14.8159
15.6251,12.9511
15.8099,11.6098
16.0732,10.5261
16.3704,9.97675
16.536,9.90019
16.8294,10.2126
17.0476,11.0821
17.1951,12.4279
17.2899,14.0838
17.3577,16.1115
17.4103,18.6863
17.4487,21.6093
17.4807,25.2403
17.5097,30.0677
17.536,36.4004
17.5623,45.3891
17.5887,57.8924
17.6154,74.8419
17.6496,102.74
17.7146,161.197
17.7447,178.987
17.7701,184.108
17.7941,179.56
17.8266,160.612
17.9118,85.8806
17.9423,64.7779
17.9702,50.4176
17.9965,40.6396
18.0228,33.7352
18.0499,28.788
18.086,24.4248
18.1244,21.4923
18.1733,19.182
18.232,17.5687
18.3358,16.2719
18.4201,16.0012
18.5465,16.3634
18.727,18.096
18.8894,20.9801
19.0246,24.8218
19.1316,29.3601
19.2218,34.8972
19.2992,41.6845
19.3691,50.4793
19.4261,60.7204
19.4776,73.9191
19.5183,88.6624
19.5523,105.677
19.5869,130.23
19.6154,159.228
19.6391,192.816
19.6622,237.481
19.6859,300.863
19.709,385.174
19.7334,505.492
19.7589,670.35
19.7897,924.555
19.8608,1592.17
19.8929,1794.56
19.9198,1852.64
19.9477,1789.92
19.9797,1584.53
20.0632,817.595
20.0927,601.117
20.1171,463.943
20.1398,367.834
20.1636,294.312
20.1867,243.233
20.2111,205.12
20.2416,173.386
20.2782,150.288
20.3129,137.908
20.3475,131.626
20.3705,130.028
20.4304,133.84
20.4903,148.71
20.5444,173.644
20.587,204.18
20.6225,240.63
20.6587,293.679
20.6885,356.084
20.7133,427.946
20.7389,529.98
20.7623,659.72
20.7858,838.225
20.8081,1069.57
20.8305,1376.41
20.8543,1800.61
20.8809,2403.23
20.9249,3637.32
20.9735,4995.96
21.0073,5598.75
21.0305,5731.25
21.0573,5566.51
21.0908,4941.41
21.1787,2499.41
21.2089,1824.8
21.2345,1384.42
21.2586,1070.19
21.2835,831.609
21.3083,658.858
21.3314,541.438
21.3591,438.727
21.3885,360.352
21.4205,298.804
21.4588,245.473
21.5014,202.826
21.5526,166.077
21.6122,135.631
21.6775,111.884
21.757,91.4119
21.8493,74.8432
21.9587,61.27
22.0765,51.1424
22.2215,42.6572
22.3905,36.2368
22.5715,32.1451
22.7043,30.6478
22.7928,30.3967
22.9336,31.6526
23.0421,34.8399
23.119,39.2481
23.1806,45.089
23.2345,53.1815
23.2729,61.884
23.3114,74.7359
23.3422,89.8736
23.371,110.262
23.3964,135.53
23.4211,169.191
23.4453,213.893
23.4695,272.731
23.4972,359.624
23.5346,508.744
23.6041,819.677
23.6355,920.545
23.6693,964.301
23.6706,964.431
23.702,931.996
23.7414,809.411
23.827,436.784
23.8578,327.762
23.8847,253.141
23.9116,196.656
23.9347,160.334
23.9597,130.839
23.9897,105.397
24.0224,86.1124
24.0609,70.5554
24.1071,57.9653
24.1625,47.8591
24.224,40.2656
24.2979,34.0455
24.3949,28.603
24.4949,24.8338
24.6149,21.7172
24.8089,18.4474
25.0397,16.0425
25.2706,14.4771
25.6709,12.8005
26.0881,11.8769
26.3876,11.6505
26.7108,12.0631
26.8763,12.887
27.0025,14.2553
27.086,15.982
27.1475,18.1749
27.1987,21.2392
27.2389,25.1476
27.272,30.0717
27.3004,36.151
27.3288,44.5901
27.3603,57.4773
27.393,75.2984
27.4391,107.318
27.5013,152.727
27.5322,168.889
27.5687,176.771
27.5704,176.795
27.599,172.573
27.6362,155.507
27.7418,81.0148
27.7773,61.2722
27.8088,48.1141
27.8404,38.628
27.8727,31.8806
27.9042,27.3794
27.9357,24.2752
27.9744,21.7053
28.0146,19.934
28.095,17.9151
28.1754,16.9856
28.2637,16.6604
28.4055,17.1345
28.5521,18.7311
28.701,21.7742
28.8003,25.0218
28.8899,29.3309
28.97,34.9818
29.0367,41.8572
29.097,50.9936
29.1391,60.1478
29.1813,73.2168
29.215,88.316
29.243,105.902
29.2711,130.282
29.2996,164.864
29.3266,210.345
29.3529,269.751
29.3813,353.65
29.4171,489.746
29.5135,928.367
29.553,1046.26
