3-Li-6(n,t) ENDF/B-VII.1
1.0E-5,47220.3
1.30374E-5,41355.5
1.71104E-5,36099.3
2.22778E-5,31636.8
2.92376E-5,27615.8
3.80674E-5,24202.1
4.996E-5,21126.0
6.50481E-5,18514.5
8.53698E-5,16161.3
1.11152E-4,14163.5
1.45877E-4,12363.3
1.89932E-4,10835.0
2.49268E-4,9457.91
3.24548E-4,8288.75
4.2594E-4,7235.27
5.54575E-4,6340.87
7.2783E-4,5534.95
9.47636E-4,4850.74
0.00124369,4234.21
0.00161928,3710.8
0.00212517,3239.16
0.00276697,2838.74
0.0036314,2477.93
0.00472809,2171.62
0.0062052,1895.6
0.00807918,1661.26
0.0106032,1450.12
0.0138054,1270.85
0.0181183,1109.32
0.0244451,955.031
0.0253,938.756
0.033204,819.432
0.0432317,718.13
0.0567377,626.848
0.0738726,549.343
0.0969512,479.499
0.126231,420.216
0.165666,366.825
0.215698,321.423
0.283085,280.645
0.368577,245.934
0.483724,214.678
0.629809,188.14
0.826569,164.211
1.07619,143.919
1.41241,125.613
1.83896,110.091
2.41347,96.1067
3.14234,84.2085
4.12404,73.5021
5.36951,64.4152
7.04701,56.226
9.17522,49.2727
12.0417,43.0076
15.6783,37.6855
20.43,33.0047
26.3504,29.0569
34.5513,25.371
44.2325,22.4196
60.4767,19.1802
81.9789,16.4623
110.728,14.1624
149.299,12.1976
206.225,10.3717
275.194,8.98397
372.696,7.71057
497.494,6.67091
650.0,5.83468
873.967,5.02959
1171.83,4.34618
1548.66,3.77569
2135.63,3.21627
2896.48,2.76048
3500.0,2.51121
4500.0,2.21629
6000.0,1.92591
8000.0,1.66889
9500.0,1.53199
15000.0,1.22801
20000.0,1.07204
26248.2,0.950545
32500.0,0.864026
45000.0,0.756614
60000.0,0.69029
80000.0,0.651005
85000.0,0.647423
105000.0,0.66346
125000.0,0.722537
140000.0,0.806938
152500.0,0.917281
162500.0,1.03942
172500.0,1.2057
182500.0,1.42564
192500.0,1.71273
205000.0,2.1746
222500.0,2.88277
232500.0,3.17461
239000.0,3.24394
247500.0,3.15116
262500.0,2.68497
282500.0,1.96695
300000.0,1.4796
310000.0,1.28055
327500.0,1.02677
338750.0,0.908596
355000.0,0.777478
380000.0,0.64091
405000.0,0.550082
435000.0,0.476524
480000.0,0.406546
520000.0,0.365902
600000.0,0.315747
700000.0,0.28079
850000.0,0.252508
1000000.0,0.238802
1300000.0,0.231002
1600000.0,0.23053
1800000.0,0.23083
2150000.0,0.22314
2600000.0,0.195269
3150000.0,0.15064
3500000.0,0.131751
3800000.0,0.12469
4400000.0,0.114473
5000000.0,0.0969944
5300000.0,0.0941044
6000000.0,0.0974894
6400000.0,0.09448
6800000.0,0.0844079
7200000.0,0.0696402
7600000.0,0.0592409
8200000.0,0.0494083
8600000.0,0.045407
9500000.0,0.0400002
1.1E7,0.0340002
1.15E7,0.0329997
1.25E7,0.0290003
1.525E7,0.02365
1.725E7,0.02
2.0E7,0.0150003
