28-Ni-59(n,&alpha;) ENDF/B-VII.1
1.0E-5,679.782
1.30374E-5,595.354
1.71104E-5,519.685
2.22778E-5,455.444
2.92376E-5,397.559
3.80674E-5,348.415
4.996E-5,304.133
6.50481E-5,266.538
8.53698E-5,232.663
1.11152E-4,203.904
1.45877E-4,177.99
1.89932E-4,155.991
2.49268E-4,136.168
3.24548E-4,119.34
4.2594E-4,104.177
5.54575E-4,91.3053
7.2783E-4,79.7087
9.47636E-4,69.8646
0.00124369,60.994
0.00161928,53.4635
0.00212517,46.6778
0.00276697,40.9124
0.0036314,35.7131
0.00472809,31.2887
0.0062052,27.2934
0.00807918,23.9042
0.0106032,20.8773
0.0138054,18.3325
0.0181183,16.0237
0.0244451,13.7803
0.0253,13.5439
0.033204,11.8161
0.0432317,10.35
0.0567377,9.03259
0.0738726,7.91574
0.0969512,6.92827
0.150913,5.57259
0.198059,4.85617
0.257874,4.25233
0.338436,3.71191
0.440644,3.25441
0.578306,2.84363
0.752956,2.49594
0.988188,2.1853
1.5382,1.76385
2.01874,1.54524
2.80862,1.32211
3.75,1.15361
5.0,1.01042
6.9999,0.871321
9.2499,0.776008
14.2928,0.661484
20.0,0.591165
27.4441,0.549301
37.5,0.527947
40.0,0.52629
54.999,0.543941
69.999,0.596439
84.999,0.686725
97.499,0.801859
102.443,0.869894
120.858,1.18519
131.25,1.4902
140.0,1.85661
150.0,2.51816
156.25,3.16515
160.625,3.77301
165.625,4.74125
170.0,5.92637
175.0,7.97955
180.0,11.3481
184.688,16.8904
185.938,19.4316
189.688,28.5027
190.625,32.4984
194.688,54.7363
195.625,63.3762
201.5,131.017
202.625,138.653
203.25,139.897
204.5,135.386
206.25,116.973
209.438,75.5818
210.625,64.6885
214.844,35.114
215.625,31.757
219.688,19.6228
220.625,17.731
225.0,11.642
230.0,7.80914
235.0,5.56383
240.0,4.1463
245.625,3.10675
250.625,2.46981
256.25,1.96101
261.25,1.62428
266.25,1.36534
272.5,1.11961
280.0,0.897776
287.5,0.73741
296.25,0.596069
306.25,0.478194
317.5,0.382037
330.0,0.304275
342.5,0.247721
357.5,0.197642
372.5,0.160848
390.0,0.129089
400.0,0.114987
500.0,0.0453247
597.765,0.0236045
629.713,0.0203059
700.0,0.0136855
800.0,0.00888846
1000.0,0.00448543
1100.0,0.00338745
1212.5,0.00256972
1312.5,0.00205495
1400.0,0.00171413
1525.0,0.00136492
1625.0,0.00115295
1725.0,9.87071E-4
1850.0,8.27704E-4
2000.0,6.82527E-4
2175.0,5.64287E-4
2350.0,4.79975E-4
2550.0,4.14155E-4
2750.0,3.74175E-4
2900.0,3.59546E-4
