93-Np-237(n,total fission) ENDF/B-VII.1
1.0E-5,1.09522
1.31241E-5,0.956009
1.70876E-5,0.837818
2.2426E-5,0.731327
2.91987E-5,0.64091
3.83206E-5,0.559434
4.98935E-5,0.490264
6.54808E-5,0.427934
8.52562E-5,0.375022
1.11891E-4,0.327334
1.45682E-4,0.286842
1.91195E-4,0.250361
2.48937E-4,0.21938
3.26707E-4,0.19145
4.25373E-4,0.16774
5.58264E-4,0.146365
7.26861E-4,0.128221
9.53941E-4,0.111855
0.00124203,0.0979468
0.00163006,0.0854081
0.00212234,0.074752
0.00278538,0.0651347
0.00362657,0.0569635
0.00475955,0.0496692
0.00619694,0.0433656
0.00813293,0.0376546
0.0105891,0.0328357
0.0145161,0.0277198
0.0189787,0.0239795
0.0234661,0.0213459
0.0253,0.0204337
0.033204,0.017466
0.0453449,0.0145366
0.0592642,0.0123098
0.0810948,0.0100717
0.105586,0.00840028
0.132401,0.0071667
0.165666,0.00610926
0.206879,0.00524868
0.24733,0.00473083
0.278648,0.00451844
0.299423,0.00447363
0.32578,0.00455961
0.352136,0.00488212
0.371396,0.00537326
0.385842,0.00598814
0.400794,0.0070081
0.410931,0.00807075
0.421068,0.00963676
0.429938,0.0116795
0.437287,0.0141404
0.444383,0.0175538
0.450465,0.0216828
0.456548,0.0273473
0.46339,0.0359544
0.480268,0.0623309
0.486756,0.0679373
0.489716,0.0684581
0.49446,0.0664191
0.500543,0.0594395
0.516559,0.0338965
0.522819,0.026128
0.528521,0.0207621
0.53473,0.0164583
0.540939,0.0133486
0.547274,0.0110385
0.555257,0.00896036
0.563494,0.00745193
0.573631,0.00615223
0.585035,0.00514615
0.596439,0.00443907
0.611645,0.00378103
0.631919,0.00320381
0.652193,0.00282321
0.676522,0.00251511
0.715043,0.00221261
0.753564,0.0020357
0.804249,0.00191109
0.860003,0.0018663
0.921214,0.00191397
0.977356,0.00206258
1.01817,0.00226218
1.05899,0.00258409
1.09426,0.00303026
1.12248,0.00357854
1.14666,0.00427856
1.16732,0.00515748
1.18395,0.00617335
1.19856,0.00743468
1.21091,0.00892693
1.22325,0.0110471
1.23333,0.0135263
1.24215,0.0165829
1.25021,0.0205144
1.25701,0.0251086
1.26419,0.0318125
1.27037,0.0396613
1.27717,0.0511693
1.28473,0.0679395
1.29889,0.107698
1.30912,0.133451
1.31597,0.142891
1.31964,0.144279
1.32685,0.139148
1.33532,0.122049
1.35452,0.0696445
1.36182,0.0538457
1.36888,0.0423235
1.37581,0.0341958
1.38261,0.0286704
1.39054,0.0245341
1.39702,0.0225652
1.40349,0.0216275
1.4078,0.021531
1.41505,0.0223378
1.42229,0.0245033
1.42941,0.0282217
1.43627,0.0335761
1.44428,0.0421813
1.46465,0.069913
1.47227,0.077169
1.47967,0.0794786
1.48651,0.0768321
1.49464,0.0685119
1.5161,0.0374921
1.52398,0.0283906
1.53084,0.0222973
1.53796,0.0175736
1.54508,0.0141262
1.5522,0.0116103
1.5611,0.00936273
1.57076,0.00765795
1.58232,0.00623875
1.59389,0.00523871
1.60914,0.00431034
1.62694,0.00356821
1.64677,0.00299971
1.67117,0.00252417
1.69965,0.00215911
1.72686,0.00193184
1.75407,0.00178941
1.78408,0.00171642
1.79594,0.00171304
1.82166,0.00176907
1.84094,0.00189398
1.85924,0.00212836
1.87308,0.00244231
1.88396,0.00283909
1.89385,0.0033978
1.9025,0.00413697
1.90992,0.00504727
1.91734,0.00630255
1.9255,0.00816646
1.93539,0.0111104
1.95339,0.017098
1.96248,0.019113
1.96988,0.0196314
1.97791,0.0189057
1.98602,0.0170043
2.0103,0.00903234
2.01846,0.00691697
2.02637,0.00535884
2.03379,0.00428622
2.0412,0.00350727
2.04986,0.00286528
2.05925,0.00238584
2.07013,0.00200726
2.08472,0.00167315
2.10252,0.0014137
2.12527,0.00120595
2.14999,0.0010625
2.18955,9.21803E-4
2.23108,8.32758E-4
2.29438,7.50824E-4
2.36993,6.93416E-4
2.50164,6.40807E-4
2.70318,6.14916E-4
2.72358,6.14778E-4
2.92555,6.36703E-4
3.09284,6.97037E-4
3.21117,7.80041E-4
3.30705,8.94486E-4
3.38506,0.0010453
3.44267,0.0012156
3.49354,0.0014383
3.53716,0.0017201
3.57456,0.00207265
3.60871,0.00254579
3.63663,0.00311354
3.65957,0.00378122
3.68051,0.00464943
3.6992,0.00576618
3.71491,0.0071167
3.72837,0.00877212
3.73884,0.0105728
3.74931,0.0130868
3.75904,0.0164104
3.76726,0.0203362
3.77549,0.0257131
3.78384,0.0331687
3.79169,0.0425038
3.80054,0.0561914
3.81164,0.0782275
3.83866,0.141282
3.84883,0.157849
3.85976,0.164404
3.86957,0.158898
3.87994,0.142773
3.91185,0.0697551
3.92145,0.0521023
3.9303,0.0394189
3.93815,0.0308387
3.94526,0.0249006
3.95274,0.0201452
3.96171,0.0159662
3.97119,0.0128357
3.98166,0.0103954
3.99387,0.00841179
4.00808,0.00682408
4.02304,0.00566433
4.03993,0.00474754
4.05764,0.00407782
4.07977,0.0035239
4.09748,0.00325194
4.11846,0.00310841
4.1215,0.00310519
4.13868,0.00319528
4.15082,0.00341227
4.16295,0.00383371
4.17306,0.00442113
4.18317,0.00531323
4.19328,0.00659685
4.20339,0.0083259
4.21754,0.0114162
4.23897,0.0163211
4.25151,0.0180954
4.2598,0.0184279
4.27031,0.0177794
4.28224,0.0157962
4.31358,0.00843362
4.32445,0.00639242
4.33456,0.00494664
4.34341,0.00400793
4.35352,0.00323456
4.36388,0.00268589
4.375,0.00228298
4.3889,0.00194836
4.40558,0.00168967
4.4258,0.00148903
4.45613,0.00130681
4.48646,0.00119961
4.53123,0.0011152
4.58068,0.00108663
4.62072,0.00110686
4.66077,0.00117905
4.6878,0.00127833
4.71033,0.0014218
4.72835,0.00161487
4.74349,0.0018826
4.75625,0.00224501
4.76689,0.00270342
4.7769,0.00332487
4.78691,0.00418952
4.79818,0.00550804
4.81219,0.00765283
4.83777,0.0120073
4.85059,0.0134521
4.8608,0.0138354
4.87121,0.0134313
4.88303,0.012119
4.91706,0.00648032
4.92858,0.00494309
4.93859,0.00392291
4.9486,0.00317316
4.95861,0.00264248
4.96938,0.00225233
4.98314,0.00193458
4.99966,0.0017121
5.02319,0.00154746
5.04121,0.00148357
5.07725,0.00143747
5.13331,0.00148072
5.19859,0.00164074
5.26387,0.00191434
5.32142,0.00228344
5.37051,0.0027434
5.4126,0.00330345
5.45141,0.00403258
5.48321,0.00486658
5.51474,0.00602903
5.5423,0.00748341
5.56589,0.00925418
5.58497,0.0112539
5.60086,0.0135279
5.61676,0.0166729
5.62948,0.0201782
5.6422,0.0250946
5.6536,0.0313863
5.66287,0.0385055
5.67215,0.0482062
5.68063,0.0601423
5.6899,0.0775826
5.69944,0.101453
5.71004,0.136157
