94-Pu-242(n,total fission) ENDF/B-VII.1
1.0E-5,0.700058
1.31241E-5,0.611082
1.70876E-5,0.535539
2.2426E-5,0.467476
2.91987E-5,0.409687
3.83206E-5,0.357613
4.98935E-5,0.313406
6.54808E-5,0.273572
8.52562E-5,0.239758
1.11891E-4,0.209283
1.45682E-4,0.18341
1.91195E-4,0.160102
2.48937E-4,0.14031
3.26707E-4,0.122471
4.25373E-4,0.107329
5.58264E-4,0.0936833
7.26861E-4,0.082104
9.53941E-4,0.0716648
0.00124203,0.0627987
0.00163006,0.0548119
0.00212234,0.0480316
0.00278538,0.0419202
0.00362657,0.0367359
0.00475955,0.03212
0.00619694,0.0281413
0.00813293,0.0245482
0.0105891,0.0215319
0.0138972,0.0187588
0.0180942,0.0164175
0.0234661,0.014421
0.0253,0.013863
0.033204,0.0120702
0.0432317,0.0105549
0.0617907,0.00879441
0.0810948,0.00763422
0.115908,0.00634051
0.150913,0.00551289
0.198059,0.00476566
0.257874,0.00412793
0.338436,0.00355026
0.483724,0.00291085
0.629809,0.00251602
0.803406,0.00221082
1.00188,0.00200455
1.22464,0.00190269
1.2854,0.00189587
1.43391,0.00192621
1.59592,0.00204877
1.71743,0.00222983
1.83894,0.00252905
1.9402,0.00292755
2.0212,0.00340417
2.10221,0.00411067
2.16296,0.00488341
2.22372,0.00599509
2.2735,0.00730665
2.31485,0.0088421
2.35366,0.0108628
2.38805,0.0133935
2.41927,0.0166527
2.44458,0.020354
2.46935,0.0254299
2.49028,0.0314904
2.50859,0.0389121
2.52479,0.0480883
2.53896,0.059298
2.55112,0.0726457
2.56124,0.0879194
2.57069,0.107559
2.57879,0.130918
2.58554,0.157509
2.59196,0.191761
2.59786,0.234486
2.60377,0.292253
2.60934,0.365309
2.61525,0.468451
2.62115,0.604293
2.62807,0.81195
2.63634,1.13167
2.65858,2.16808
2.66574,2.41367
2.67411,2.54773
2.67584,2.55124
2.6841,2.45198
2.69288,2.16574
2.71583,1.10507
2.72359,0.809849
2.73043,0.605881
2.73692,0.458312
2.74283,0.35759
2.74857,0.284164
2.75447,0.227881
2.76038,0.186121
2.76663,0.153316
2.77422,0.124248
2.78333,0.0996015
2.79278,0.0814518
2.8046,0.0652824
2.81641,0.0536617
2.83059,0.0435062
2.84679,0.03515
2.86501,0.0283931
2.88662,0.0226772
2.90889,0.0184408
2.93589,0.0147458
2.9629,0.0120783
2.99665,0.00967117
3.03378,0.00778872
3.07428,0.00631811
3.11731,0.00518823
3.17047,0.00418246
3.22617,0.00342742
3.28692,0.00283001
3.3578,0.00232609
3.44556,0.00188514
3.54006,0.00155198
3.64807,0.00128371
3.78308,0.00104902
3.94509,8.57326E-4
4.11723,7.17452E-4
4.34337,5.90736E-4
4.61055,4.89576E-4
4.92141,4.08851E-4
5.30437,3.40276E-4
5.75696,2.84439E-4
6.314,2.35619E-4
7.01029,1.92943E-4
7.70658,1.62847E-4
8.54213,1.35873E-4
9.46597,1.13875E-4
10.6037,9.40366E-5
11.969,7.70799E-5
13.508,6.35026E-5
15.2839,5.24505E-5
17.0788,4.45028E-5
19.3042,3.74718E-5
22.1796,3.13695E-5
25.6224,2.67732E-5
29.3218,2.39246E-5
33.2834,2.25175E-5
