90-Th-232(n,total fission) ENDF/B-VII.1
1.0E-5,0.0
4000.0,0.0
4000.0,3.79906E-6
4500.0,3.59674E-6
5000.0,3.42365E-6
5977.65,3.15193E-6
6000.0,3.14572E-6
7000.0,2.93071E-6
8000.0,2.75349E-6
9000.0,2.59957E-6
10000.0,2.4831E-6
11955.3,2.28345E-6
14292.9,2.04476E-6
15000.0,1.97256E-6
17932.9,1.76825E-6
20000.0,1.62426E-6
23910.6,1.42211E-6
25000.0,1.36579E-6
29888.2,1.17528E-6
30000.0,1.17092E-6
35000.0,1.02246E-6
40000.0,9.11273E-7
45000.0,8.26961E-7
49000.0,7.74357E-7
50000.0,7.5852E-7
51000.0,7.37721E-7
55000.0,6.72671E-7
60000.0,6.07819E-7
70000.0,5.24248E-7
80000.0,4.82707E-7
90000.0,4.6412E-7
100000.0,4.60109E-7
100000.0,4.60105E-7
110000.0,4.62941E-7
120000.0,4.50212E-7
135000.0,4.05499E-7
144000.0,3.77618E-7
160000.0,3.56965E-7
175000.0,3.5198E-7
200000.0,3.64223E-7
250000.0,4.55473E-7
300000.0,7.22725E-7
350000.0,2.19131E-6
400000.0,1.02235E-5
450000.0,4.40208E-6
500000.0,4.72646E-6
550000.0,5.52684E-6
600000.0,8.10788E-6
651562.0,2.52169E-5
700000.0,4.85953E-5
750000.0,1.86875E-4
800000.0,6.00723E-4
850000.0,5.77696E-4
900000.0,3.52093E-4
959375.0,0.00100379
1000000.0,0.00141706
1100000.0,9.9166E-4
1140000.0,0.00130305
1200000.0,0.00337135
1240000.0,0.00752687
1300000.0,0.0208033
1350000.0,0.044796
1400000.0,0.0579375
1500000.0,0.0636639
1522500.0,0.0779293
1570000.0,0.118928
1580000.0,0.126659
1600000.0,0.120194
1625000.0,0.0982784
1660000.0,0.0731522
1670000.0,0.0761671
1700000.0,0.0952047
1722500.0,0.0896828
1760000.0,0.0694634
1780000.0,0.0695895
1800000.0,0.0752479
1820000.0,0.0903469
1860000.0,0.110563
1880000.0,0.114676
1900000.0,0.112932
1920000.0,0.107518
1980000.0,0.117573
2000000.0,0.120005
2020000.0,0.117821
2070000.0,0.122611
2080000.0,0.124301
2100000.0,0.1238
2160000.0,0.141982
2200000.0,0.142522
2220000.0,0.139495
2240000.0,0.131984
2260000.0,0.13053
2280000.0,0.122723
2340000.0,0.110909
2360000.0,0.109583
2430000.0,0.112509
2550000.0,0.119974
2925000.0,0.132399
3550000.0,0.141519
5000000.0,0.146703
5750000.0,0.143657
6100000.0,0.16144
6450000.0,0.266572
6800000.0,0.355727
7000000.0,0.385089
7375000.0,0.398427
7500000.0,0.39973
7875000.0,0.379162
8250000.0,0.359394
9500000.0,0.322751
1.22E7,0.302373
1.29E7,0.307484
1.36E7,0.331679
1.485E7,0.40238
1.55E7,0.438975
1.65E7,0.461157
1.9E7,0.492044
2.0E7,0.527406
2.2E7,0.676438
2.4E7,0.704602
2.6E7,0.690107
2.8E7,0.703831
3.0E7,0.751983
3.5E7,0.808707
3.7E7,0.833238
4.0E7,0.886801
4.2E7,0.893856
4.4E7,0.880154
5.1E7,0.918486
5.3E7,0.913908
6.0E7,0.935185

