92-U-233(n,total fission) ENDF/B-VII.1
1.0E-5,26888.6
1.31241E-5,23471.1
1.70876E-5,20569.6
2.2426E-5,17955.3
2.91987E-5,15735.7
3.83206E-5,13735.6
4.98935E-5,12037.6
6.54808E-5,10507.6
8.52562E-5,9208.88
1.11891E-4,8038.4
1.45682E-4,7044.64
1.91195E-4,6149.41
2.48937E-4,5389.22
3.26707E-4,4704.04
4.25373E-4,4122.5
5.58264E-4,3598.38
7.26861E-4,3153.64
9.53941E-4,2752.69
0.00124203,2412.18
0.00163006,2105.44
0.00212234,1845.03
0.00278538,1610.34
0.00362657,1411.29
0.00475955,1233.95
0.00619694,1081.17
0.00813293,943.247
0.0105891,827.383
0.0138972,720.929
0.0180942,631.042
0.0234661,554.234
0.0253,532.707
0.033204,463.506
0.0432317,404.936
0.0567377,351.981
0.0738726,306.63
0.101268,258.794
0.133347,222.731
0.163222,205.195
0.31112,162.79
0.406136,145.988
0.645069,121.451
0.745437,117.819
0.857848,122.089
0.975988,134.384
1.06518,149.858
1.16923,177.464
1.26437,215.54
1.3595,268.666
1.56464,411.131
1.61295,467.656
1.65003,540.083
1.69049,658.171
1.74306,827.38
1.7729,870.055
1.77702,870.516
1.79886,850.158
1.83343,756.729
1.90075,526.457
1.93714,431.519
1.97808,355.04
2.01902,304.068
2.06375,270.766
2.09862,258.986
2.11606,258.01
2.14523,265.35
2.17441,288.511
2.1974,324.953
2.21751,377.916
2.2397,467.31
2.27281,629.488
2.28752,664.923
2.28936,665.784
2.30324,642.231
2.31649,573.808
2.35201,312.487
2.36551,235.002
2.37701,185.728
2.38735,152.698
2.39942,124.661
2.4135,102.138
2.42724,87.2141
2.44098,76.8183
2.46292,65.9841
2.49018,58.067
2.52288,52.7048
2.56648,48.9778
2.63189,46.5912
2.6946,46.0467
2.83569,48.1064
2.97678,53.927
3.09593,62.4351
3.19626,73.0381
3.32168,91.6299
3.46591,119.15
3.51545,133.442
3.55111,151.925
3.59463,189.697
3.62271,210.74
3.63427,213.502
3.65489,206.472
3.68112,179.789
3.72194,131.517
3.74731,109.764
3.77663,92.5739
3.81298,78.7743
3.86219,67.1844
3.91843,59.3802
3.97466,55.1728
4.05458,53.3046
4.13154,54.8659
4.23809,61.2758
4.35648,73.1923
4.61695,105.941
4.72942,112.835
4.7531,113.095
4.85374,109.596
5.02245,92.7661
5.22668,70.8898
5.34964,61.7515
5.44186,57.7889
5.50194,56.9781
5.56746,58.5845
5.63298,64.0868
5.68873,73.3036
5.75621,90.7961
5.83249,112.305
5.8853,120.047
5.89899,120.602
5.94593,118.636
6.09251,101.202
6.19191,96.6781
6.26558,98.7413
6.33925,105.713
6.41516,119.238
6.48214,138.609
6.54019,163.861
6.59228,197.418
6.63113,234.071
6.66432,279.303
6.69349,336.522
6.72326,419.475
6.76188,565.492
6.79658,694.414
6.8192,737.489
6.82553,740.049
6.84332,722.401
6.86442,657.988
6.92745,362.532
6.95101,275.584
6.97315,214.826
6.99576,169.998
7.01837,137.862
7.04476,111.242
7.07479,90.1498
7.10761,74.1308
7.14747,60.7593
7.18966,51.1531
7.2389,43.7754
7.29235,39.1316
7.33244,37.7018
7.3458,37.6386
7.39419,39.2891
7.47746,46.1152
7.50335,46.9264
7.52698,46.3344
7.57509,41.8673
7.64401,33.8686
7.70028,29.4576
7.75654,26.8351
7.84094,24.8229
7.97035,23.9491
8.11864,24.6053
8.3087,27.0217
8.47264,30.5101
8.58958,34.8418
8.68248,39.0028
8.70149,39.2091
8.73689,38.4175
8.84776,31.6745
8.90327,30.1408
8.93617,29.9772
8.99168,30.9954
9.02869,33.0256
9.06569,36.8469
9.10387,43.3846
9.15689,56.6901
